scenarioId	ncbiTaxon	ncbiSpecies	ncbiAccession	pubmedAccession 	modName	experiment	tissue	condition	yield	ec	kegg	rhea	iubmb
s37	76912	Zea mays subsp. parviglumis	ABY79213	18296628	beta-caryophyllene	recombinant	none	none	main	4.2.3.57	R08541	28297	http://www.sbcs.qmul.ac.uk/iubmb/enzyme/EC4/2/3/57.html
s38	4579	Zea mays subsp. mexicana	ABY79212	18296628	beta-caryophyllene	recombinant	none	none	main	4.2.3.57	R08541	28297	http://www.sbcs.qmul.ac.uk/iubmb/enzyme/EC4/2/3/57.html
s39	15945	Zea luxurians	ABY79211	18296628	beta-caryophyllene	recombinant	none	none	main	4.2.3.57	R08541	28297	http://www.sbcs.qmul.ac.uk/iubmb/enzyme/EC4/2/3/57.html
s40	112001	Zea mays subsp. huehuetenangensis	ABY79210	18296628	beta-caryophyllene	recombinant	none	none	main	4.2.3.57	R08541	28297	http://www.sbcs.qmul.ac.uk/iubmb/enzyme/EC4/2/3/57.html
s41	4576	Zea diploperennis	ABY79209	18296628	beta-caryophyllene	recombinant	none	none	main	4.2.3.57	R08541	28297	http://www.sbcs.qmul.ac.uk/iubmb/enzyme/EC4/2/3/57.html
s42	4530	Oryza sativa	ABJ16553	17524436	beta-caryophyllene	seedling	PO|0025034|leaf	PECO|0007407|methyl jasmonate exposure	main	4.2.3.57	R08541	28297	http://www.sbcs.qmul.ac.uk/iubmb/enzyme/EC4/2/3/57.html
s43	311405	Zingiber zerumbet	BAG12020	18273640	beta-caryophyllene	recombinant	none	none	side	4.2.3.57	R08541	28297	http://www.sbcs.qmul.ac.uk/iubmb/enzyme/EC4/2/3/57.html
s44	4232	Helianthus annuus	AAY41422	19580670	beta-caryophyllene	recombinant	none	none	main	4.2.3.57	R08541	28297	http://www.sbcs.qmul.ac.uk/iubmb/enzyme/EC4/2/3/57.html
s45	3702	Arabidopsis thaliana	AAO85539	15918888	beta-caryophyllene	adult	PO|0009046|flower	none	main	4.2.3.57	R08541	28297	http://www.sbcs.qmul.ac.uk/iubmb/enzyme/EC4/2/3/57.html
s46	35608	Artemisia annua	AAL79181	12409018	beta-caryophyllene	recombinant	none	none	main	4.2.3.57	R08541	28297	http://www.sbcs.qmul.ac.uk/iubmb/enzyme/EC4/2/3/57.html
s47	3702	Arabidopsis thaliana	ABO09887	15918888	beta-chamigrene	adult	PO|0009046|flower	none	side	none	none	none	none
s48	4530	Oryza sativa	ABJ16553	17524436	beta-elemene	seedling	PO|0025034|leaf	PECO|0007407|methyl jasmonate exposure	side	none	none	none	none
s49	4530	Oryza sativa	ABJ16553	17524436	beta-elemene	recombinant	none	none	side	none	none	none	none
s50	3702	Arabidopsis thaliana	ABO09887	15918888	beta-farnesene	adult	PO|0009046|flower	none	side	none	none	none	none
